Время измерения;Индекс группы на момент измерения;Серийный номер;высота установки от уровня земли;средняя температура, градусы Цельсия;средняя скорость горизонтального ветра;среднее направление гор. ветра, градусы;мин. скорость мгновенного гор. ветра, м/с;макс. скорость мгновенного гор. ветра, м/с;средняя скорость верт. ветра, м/с;атмосферное давление, мм.рт.ст.;относительная влажность воздуха, %;температура точки росы, градусы Цельсия;упругость (давление) водяного пара, гПа;абсолютная влажность, г/м^3;плотность воздуха, кг/м^3;скорость звука в воздухе, в м/с
2018-01-04 13:42:00+00;1;15407AMK-03;28;-21.72;1.18;110.38;0.77;1.71;0.07;759.89;100;-21.72;1.08;0.86;1.4012;318.25
2018-01-04 14:27:00+00;1;15407AMK-03;28;-22.37;0.1;11.59;0;0.37;-0.02;759.67;100;-22.37;1.02;0.81;1.4045;317.83
2018-01-04 15:13:00+00;1;15407AMK-03;28;-22.58;1.16;93.67;0.76;1.69;0.06;759.7;100;-22.58;1;0.8;1.4058;317.7
2018-01-04 15:58:00+00;1;15407AMK-03;28;-23.45;1.55;106.83;1.25;1.86;0;759.83;100;-23.45;0.93;0.74;1.4109;317.14
2018-01-04 16:44:00+00;1;15407AMK-03;28;-23.56;0.95;109.92;0.53;1.46;0.02;759.86;100;-23.56;0.92;0.73;1.4116;317.07
2018-01-04 17:29:00+00;1;15407AMK-03;28;-23.78;0.82;113.12;0.54;1.23;-0.02;759.89;100;-23.78;0.9;0.72;1.4129;316.93
2018-01-04 18:15:00+00;1;15407AMK-03;28;-24.48;0.55;47.01;0.21;0.8;0.05;759.84;100;-24.48;0.85;0.67;1.4168;316.48
2018-01-04 19:00:00+00;1;15407AMK-03;28;-24.5;0.82;40.88;0.6;1.12;0.03;759.46;100;-24.5;0.85;0.67;1.4163;316.47
2018-01-04 19:46:00+00;1;15407AMK-03;28;-24.89;0.65;114.19;0.42;0.99;-0.01;759.47;100;-24.89;0.82;0.65;1.4185;316.22
2018-01-04 20:31:00+00;1;15407AMK-03;28;-25.08;1.23;83.86;0.86;1.67;0;759.74;100;-25.08;0.8;0.64;1.4201;316.1
2018-01-04 21:17:00+00;1;15407AMK-03;28;-25.88;0.84;44.08;0.56;1.12;0.09;759.67;100;-25.88;0.75;0.59;1.4246;315.59
2018-01-04 22:02:00+00;1;15407AMK-03;28;-26.41;1.28;31.87;0.54;1.91;0.07;759.69;100;-26.41;0.71;0.57;1.4277;315.24
